ARCHIVO;N;FECHA;HORARIO;ARU;DETECCION;BI
20210423_083000.WAV;93;20210423;83000;a04;0;0.6269
20210423_093000.WAV;94;20210423;93000;a04;0;0.6614
20210423_103000.WAV;95;20210423;103000;a04;0;0.6728
20210423_233000.WAV;96;20210423;233000;a04;1;2.1247
20210424_003000.WAV;97;20210424;3000;a04;1;4.6118
20210424_013000.WAV;98;20210424;13000;a04;1;6.2943
20210424_023000.WAV;99;20210424;23000;a04;0;0.6189
20210424_033000.WAV;100;20210424;33000;a04;0;0.6846
20210424_043000.WAV;101;20210424;43000;a04;0;0.6133
20210424_053000.WAV;102;20210424;53000;a04;0;0.6362
20210424_063000.WAV;103;20210424;63000;a04;0;0.6029
20210424_073000.WAV;104;20210424;73000;a04;0;0.6324
20210424_083000.WAV;105;20210424;83000;a04;0;0.6539
20210424_093000.WAV;106;20210424;93000;a04;0;0.6368
20210424_103000.WAV;107;20210424;103000;a04;0;0.6026
20210424_233000.WAV;108;20210424;233000;a04;1;5.9755
20210425_003000.WAV;109;20210425;3000;a04;1;4.7575
20210425_013000.WAV;110;20210425;13000;a04;1;1.9569
20210425_023000.WAV;111;20210425;23000;a04;0;0.6817
20210425_033000.WAV;112;20210425;33000;a04;0;0.6823
20210425_043000.WAV;113;20210425;43000;a04;0;0.626
20210425_053000.WAV;114;20210425;53000;a04;0;0.6257
20210425_063000.WAV;115;20210425;63000;a04;0;0.625
20210425_073000.WAV;116;20210425;73000;a04;0;0.6332
20210425_083000.WAV;117;20210425;83000;a04;0;0.6974
20210425_093000.WAV;118;20210425;93000;a04;0;0.6209
20210425_103000.WAV;119;20210425;103000;a04;0;0.6379
20210425_233000.WAV;120;20210425;233000;a04;1;3.9096
20210426_003000.WAV;121;20210426;3000;a04;1;2.6949
20210426_013000.WAV;122;20210426;13000;a04;1;1.4659
20210426_023000.WAV;123;20210426;23000;a04;0;0.6245
20210426_033000.WAV;124;20210426;33000;a04;0;0.6159
20210426_043000.WAV;125;20210426;43000;a04;0;0.5849
20210426_053000.WAV;126;20210426;53000;a04;0;0.6211
20210426_063000.WAV;127;20210426;63000;a04;0;0.6482
20210426_073000.WAV;128;20210426;73000;a04;0;0.6338
20210426_083000.WAV;129;20210426;83000;a04;0;0.6029
20210426_093000.WAV;130;20210426;93000;a04;0;0.6411
20210426_103000.WAV;131;20210426;103000;a04;0;0.6115
20210426_233000.WAV;132;20210426;233000;a04;1;5.5412
20210427_003000.WAV;133;20210427;3000;a04;1;6.315
20210427_013000.WAV;134;20210427;13000;a04;1;2.1646
20210427_023000.WAV;135;20210427;23000;a04;1;0.7055
20210427_033000.WAV;136;20210427;33000;a04;0;0.6431
20210427_043000.WAV;137;20210427;43000;a04;0;0.6093
20210427_053000.WAV;138;20210427;53000;a04;0;0.6315
20210427_063000.WAV;139;20210427;63000;a04;0;0.6135
20210427_073000.WAV;140;20210427;73000;a04;0;0.6538
20210427_083000.WAV;141;20210427;83000;a04;0;0.611
20210427_093000.WAV;142;20210427;93000;a04;0;0.5893
20210427_103000.WAV;143;20210427;103000;a04;0;0.6542
20210427_233000.WAV;144;20210427;233000;a04;1;0.835
20210428_003000.WAV;145;20210428;3000;a04;1;6.4014
20210428_013000.WAV;146;20210428;13000;a04;1;5.2484
20210428_023000.WAV;147;20210428;23000;a04;0;0.6775
20210428_033000.WAV;148;20210428;33000;a04;0;0.663
20210428_043000.WAV;149;20210428;43000;a04;0;0.6198
20210428_053000.WAV;150;20210428;53000;a04;0;0.6987
20210428_063000.WAV;151;20210428;63000;a04;0;0.6563
20210428_073000.WAV;152;20210428;73000;a04;0;0.6024
20210428_083000.WAV;153;20210428;83000;a04;0;0.6066
20210428_093000.WAV;154;20210428;93000;a04;0;0.6891
20210428_103000.WAV;155;20210428;103000;a04;0;0.6247
20210428_233000.WAV;156;20210428;233000;a04;1;1.6746
20210429_003000.WAV;157;20210429;3000;a04;1;5.2741
20210429_013000.WAV;158;20210429;13000;a04;1;2.2566
20210429_023000.WAV;159;20210429;23000;a04;0;0.5911
20210429_033000.WAV;160;20210429;33000;a04;0;0.57
20210429_043000.WAV;161;20210429;43000;a04;0;0.6252
20210429_053000.WAV;162;20210429;53000;a04;0;0.6491
20210429_063000.WAV;163;20210429;63000;a04;0;0.6006
20210429_073000.WAV;164;20210429;73000;a04;0;0.6435
20210429_083000.WAV;165;20210429;83000;a04;0;0.638
20210429_093000.WAV;166;20210429;93000;a04;0;0.6418
20210429_103000.WAV;167;20210429;103000;a04;0;0.6038
20210429_233000.WAV;168;20210429;233000;a04;1;3.2667
20210430_003000.WAV;169;20210430;3000;a04;1;4.6244
20210430_013000.WAV;170;20210430;13000;a04;1;5.4282
20210430_023000.WAV;171;20210430;23000;a04;0;0.6032
20210430_033000.WAV;172;20210430;33000;a04;0;0.6633
20210430_043000.WAV;173;20210430;43000;a04;0;0.5786
20210430_053000.WAV;174;20210430;53000;a04;0;0.5941
20210430_063000.WAV;175;20210430;63000;a04;0;0.5918
20210430_073000.WAV;176;20210430;73000;a04;0;0.6068
20210430_083000.WAV;177;20210430;83000;a04;0;0.647
